timestamp,gateway_address,schedule_id,connected_nodes,tx_total,rx_total,tx_rate_1s,rx_rate_1s,avg_latency_ms
2025-09-05T17:55:30.816521,0x24374C76B5CF8604,6,10,0,0,0,0,36.95
2025-09-05T17:55:32.895096,0x24374C76B5CF8604,6,10,0,0,0,0,35.39
2025-09-05T17:55:34.986776,0x24374C76B5CF8604,6,10,0,0,0,0,37.96
2025-09-05T17:55:37.057652,0x24374C76B5CF8604,6,10,0,0,0,0,35.80
2025-09-05T17:55:39.148591,0x24374C76B5CF8604,6,10,0,0,0,0,36.69
2025-09-05T17:55:41.255740,0x24374C76B5CF8604,6,10,0,0,0,0,33.98
2025-09-05T17:55:43.337092,0x24374C76B5CF8604,6,10,0,0,0,0,35.83
2025-09-05T17:55:45.424489,0x24374C76B5CF8604,6,10,0,0,0,0,40.56
2025-09-05T17:55:47.528258,0x24374C76B5CF8604,6,10,0,0,0,0,41.17
2025-09-05T17:55:49.613101,0x24374C76B5CF8604,6,10,0,0,0,0,38.58
2025-09-05T17:55:51.708146,0x24374C76B5CF8604,6,10,0,0,0,0,37.55
2025-09-05T17:55:53.796963,0x24374C76B5CF8604,6,10,0,0,0,0,36.04
2025-09-05T17:55:55.887150,0x24374C76B5CF8604,6,10,0,0,0,0,35.12
2025-09-05T17:55:57.999879,0x24374C76B5CF8604,6,10,0,0,0,0,34.79
2025-09-05T17:56:00.133518,0x24374C76B5CF8604,6,10,0,0,0,0,34.99
2025-09-05T17:56:02.158576,0x24374C76B5CF8604,6,10,0,0,0,0,35.90
2025-09-05T17:56:04.189408,0x24374C76B5CF8604,6,10,0,0,0,0,35.64
2025-09-05T17:56:06.215485,0x24374C76B5CF8604,6,10,0,0,0,0,41.21
2025-09-05T17:56:08.260309,0x24374C76B5CF8604,6,10,0,0,0,0,40.40
2025-09-05T17:56:10.407748,0x24374C76B5CF8604,6,10,0,0,0,0,40.65
2025-09-05T17:56:12.425080,0x24374C76B5CF8604,6,10,0,0,0,0,41.86
2025-09-05T17:56:14.480298,0x24374C76B5CF8604,6,10,0,0,0,0,40.74
2025-09-05T17:56:16.491482,0x24374C76B5CF8604,6,10,0,0,0,0,38.06
2025-09-05T17:56:18.562552,0x24374C76B5CF8604,6,10,0,0,0,0,38.64
2025-09-05T17:56:20.708120,0x24374C76B5CF8604,6,10,0,0,0,0,38.17
2025-09-05T17:56:22.860491,0x24374C76B5CF8604,6,10,0,0,0,0,39.41
2025-09-05T17:56:24.899739,0x24374C76B5CF8604,6,10,0,0,0,0,37.48
2025-09-05T17:56:26.936115,0x24374C76B5CF8604,6,10,0,0,0,0,36.95
2025-09-05T17:56:29.074575,0x24374C76B5CF8604,6,10,0,0,0,0,34.92
2025-09-05T17:56:31.109455,0x24374C76B5CF8604,6,10,0,0,0,0,36.08
2025-09-05T17:56:33.161280,0x24374C76B5CF8604,6,10,0,0,0,0,37.58
2025-09-05T17:56:35.189673,0x24374C76B5CF8604,6,10,0,0,0,0,35.47
2025-09-05T17:56:37.242152,0x24374C76B5CF8604,6,10,0,0,0,0,37.41
2025-09-05T17:56:39.273848,0x24374C76B5CF8604,6,10,0,0,0,0,36.36
2025-09-05T17:56:41.329927,0x24374C76B5CF8604,6,10,0,0,0,0,40.66
2025-09-05T17:56:43.363912,0x24374C76B5CF8604,6,10,0,0,0,0,43.70
2025-09-05T17:56:45.430099,0x24374C76B5CF8604,6,10,0,0,0,0,44.06
2025-09-05T17:56:47.471439,0x24374C76B5CF8604,6,10,0,0,0,0,38.51
2025-09-05T17:56:49.540162,0x24374C76B5CF8604,6,10,0,0,0,0,38.84
2025-09-05T17:56:51.596425,0x24374C76B5CF8604,6,10,0,0,0,0,36.64
2025-09-05T17:56:53.667151,0x24374C76B5CF8604,6,10,0,0,0,0,36.37
2025-09-05T17:56:55.722900,0x24374C76B5CF8604,6,10,0,0,0,0,36.81
2025-09-05T17:56:57.784716,0x24374C76B5CF8604,6,10,0,0,0,0,37.60
2025-09-05T17:56:59.832569,0x24374C76B5CF8604,6,10,0,0,0,0,36.22
2025-09-05T17:57:01.888619,0x24374C76B5CF8604,6,10,0,0,0,0,38.18
2025-09-05T17:57:03.939704,0x24374C76B5CF8604,6,10,0,0,0,0,39.52
2025-09-05T17:57:06.008384,0x24374C76B5CF8604,6,10,0,0,0,0,42.82
2025-09-05T17:57:08.053869,0x24374C76B5CF8604,6,10,0,0,0,0,44.48
2025-09-05T17:57:10.118495,0x24374C76B5CF8604,6,10,0,0,0,0,44.11
2025-09-05T17:57:12.167747,0x24374C76B5CF8604,6,10,0,0,0,0,43.12
2025-09-05T17:57:14.244164,0x24374C76B5CF8604,6,10,0,0,0,0,38.28
2025-09-05T17:57:16.273234,0x24374C76B5CF8604,6,10,0,0,0,0,36.50
2025-09-05T17:57:18.338831,0x24374C76B5CF8604,6,10,0,0,0,0,37.27
2025-09-05T17:57:20.387378,0x24374C76B5CF8604,6,10,0,0,0,0,36.16
